from, to, dqf, range, status, distance
3, 1, 72, 120, 16, 200
3, 1, 79, 107, 16, 200
3, 1, 78, 136, 16, 200
3, 1, 78, 99, 16, 200
3, 1, 77, 112, 16, 200
3, 1, 75, 107, 16, 200
3, 1, 84, 146, 16, 200
3, 1, 90, 183, 16, 200
3, 1, 79, 174, 16, 200
3, 1, 76, 122, 16, 200
3, 1, 78, 140, 16, 200
3, 1, 89, 178, 16, 200
3, 1, 74, 109, 16, 200
3, 1, 71, 131, 16, 200
3, 1, 80, 114, 16, 200
3, 1, 77, 141, 16, 200
3, 1, 85, 167, 16, 200
3, 1, 88, 152, 16, 200
3, 1, 79, 131, 16, 200
3, 1, 85, 138, 16, 200
3, 1, 68, 100, 16, 200
3, 1, 92, 187, 16, 200
3, 1, 86, 147, 16, 200
3, 1, 75, 111, 16, 200
3, 1, 76, 101, 16, 200
3, 1, 80, 146, 16, 200
3, 1, 75, 101, 16, 200
3, 1, 81, 133, 16, 200
3, 1, 79, 114, 16, 200
3, 1, 88, 177, 16, 200
3, 1, 76, 176, 16, 200
3, 1, 92, 190, 16, 200
3, 1, 88, 196, 16, 200
3, 1, 90, 185, 16, 200
3, 1, 85, 196, 16, 200
3, 1, 84, 143, 16, 200
3, 1, 85, 184, 16, 200
3, 1, 90, 187, 16, 200
3, 1, 81, 123, 16, 200
3, 1, 77, 104, 16, 200
3, 1, 73, 172, 16, 200
3, 1, 88, 180, 16, 200
3, 1, 76, 123, 16, 200
3, 1, 77, 101, 16, 200
3, 1, 80, 123, 16, 200
3, 1, 83, 197, 16, 200
3, 1, 92, 184, 16, 200
3, 1, 81, 108, 16, 200
3, 1, 65, 135, 16, 200
3, 1, 81, 140, 16, 200
