from, to, dqf, range, status, distance
2, 1, 90, 123, 16, 150
2, 1, 86, 114, 16, 150
2, 1, 82, 130, 16, 150
2, 1, 97, 157, 16, 150
2, 1, 88, 121, 16, 150
2, 1, 94, 145, 16, 150
2, 1, 89, 126, 16, 150
2, 1, 97, 149, 16, 150
2, 1, 84, 161, 16, 150
2, 1, 83, 105, 16, 150
2, 1, 97, 143, 16, 150
2, 1, 84, 105, 16, 150
2, 1, 86, 113, 16, 150
2, 1, 82, 102, 16, 150
2, 1, 76, 114, 16, 150
2, 1, 89, 120, 16, 150
2, 1, 84, 107, 16, 150
2, 1, 98, 155, 16, 150
2, 1, 88, 123, 16, 150
2, 1, 78, 114, 16, 150
2, 1, 89, 135, 16, 150
2, 1, 89, 126, 16, 150
2, 1, 87, 152, 16, 150
2, 1, 97, 146, 16, 150
2, 1, 82, 122, 16, 150
2, 1, 91, 146, 16, 150
2, 1, 85, 132, 16, 150
2, 1, 91, 127, 16, 150
2, 1, 91, 129, 16, 150
2, 1, 82, 120, 16, 150
2, 1, 83, 108, 16, 150
2, 1, 89, 115, 16, 150
2, 1, 82, 107, 16, 150
2, 1, 97, 146, 16, 150
2, 1, 99, 167, 16, 150
2, 1, 81, 139, 16, 150
2, 1, 87, 114, 16, 150
2, 1, 90, 150, 16, 150
2, 1, 84, 110, 16, 150
2, 1, 94, 130, 16, 150
2, 1, 87, 112, 16, 150
2, 1, 85, 118, 16, 150
2, 1, 88, 117, 16, 150
2, 1, 90, 116, 16, 150
2, 1, 90, 130, 16, 150
2, 1, 95, 149, 16, 150
2, 1, 91, 132, 16, 150
2, 1, 87, 125, 16, 150
2, 1, 89, 124, 16, 150
2, 1, 88, 123, 16, 150
