from, to, dqf, range, status, distance
1, 3, 70, 136, 16, 200
1, 3, 78, 141, 16, 200
1, 3, 75, 131, 16, 200
1, 3, 88, 262, 16, 200
1, 3, 82, 210, 16, 200
1, 3, 76, 182, 16, 200
1, 3, 0, 0, 16, 200
1, 3, 62, 137, 16, 200
1, 3, 75, 168, 16, 200
1, 3, 62, 167, 16, 200
1, 3, 85, 236, 16, 200
1, 3, 60, 115, 16, 200
1, 3, 72, 124, 16, 200
1, 3, 75, 125, 16, 200
1, 3, 83, 167, 16, 200
1, 3, 84, 192, 16, 200
1, 3, 68, 122, 16, 200
1, 3, 70, 116, 16, 200
1, 3, 95, 224, 16, 200
1, 3, 76, 137, 16, 200
1, 3, 91, 258, 16, 200
1, 3, 70, 189, 16, 200
1, 3, 73, 148, 16, 200
1, 3, 74, 148, 16, 200
1, 3, 81, 165, 16, 200
1, 3, 97, 215, 16, 200
1, 3, 67, 176, 16, 200
1, 3, 76, 241, 16, 200
1, 3, 81, 236, 16, 200
1, 3, 78, 170, 16, 200
1, 3, 82, 165, 16, 200
1, 3, 86, 248, 16, 200
1, 3, 59, 134, 16, 200
1, 3, 63, 183, 16, 200
1, 3, 78, 164, 16, 200
1, 3, 79, 249, 16, 200
1, 3, 82, 243, 16, 200
1, 3, 82, 166, 16, 200
1, 3, 78, 190, 16, 200
1, 3, 66, 229, 16, 200
1, 3, 83, 257, 16, 200
1, 3, 78, 126, 16, 200
1, 3, 82, 202, 16, 200
1, 3, 66, 138, 16, 200
1, 3, 76, 138, 16, 200
1, 3, 68, 191, 16, 200
1, 3, 70, 165, 16, 200
1, 3, 53, 118, 16, 200
1, 3, 84, 168, 16, 200
1, 3, 73, 175, 16, 200
1, 3, 68, 110, 16, 200
