from, to, dqf, range, status, distance, angle
2, 3, 91, 92, 16, 50, 90
2, 3, 81, 91, 16, 50, 90
2, 3, 82, 96, 16, 50, 90
2, 3, 89, 98, 16, 50, 90
2, 3, 79, 82, 16, 50, 90
2, 3, 83, 86, 16, 50, 90
2, 3, 87, 87, 16, 50, 90
2, 3, 87, 82, 16, 50, 90
2, 3, 89, 83, 16, 50, 90
2, 3, 86, 108, 16, 50, 90
2, 3, 77, 73, 16, 50, 90
2, 3, 86, 83, 16, 50, 90
2, 3, 85, 88, 16, 50, 90
2, 3, 74, 78, 16, 50, 90
2, 3, 78, 87, 16, 50, 90
2, 3, 87, 88, 16, 50, 90
2, 3, 86, 89, 16, 50, 90
2, 3, 84, 88, 16, 50, 90
2, 3, 91, 101, 16, 50, 90
2, 3, 88, 88, 16, 50, 90
2, 3, 81, 86, 16, 50, 90
2, 3, 75, 76, 16, 50, 90
2, 3, 83, 78, 16, 50, 90
2, 3, 84, 85, 16, 50, 90
2, 3, 80, 74, 16, 50, 90
2, 3, 77, 87, 16, 50, 90
2, 3, 74, 73, 16, 50, 90
2, 3, 74, 84, 16, 50, 90
2, 3, 83, 85, 16, 50, 90
2, 3, 87, 97, 16, 50, 90
2, 3, 85, 77, 16, 50, 90
2, 3, 87, 97, 16, 50, 90
2, 3, 88, 88, 16, 50, 90
2, 3, 86, 88, 16, 50, 90
2, 3, 91, 90, 16, 50, 90
2, 3, 88, 86, 16, 50, 90
2, 3, 80, 84, 16, 50, 90
2, 3, 87, 88, 16, 50, 90
2, 3, 80, 82, 16, 50, 90
2, 3, 88, 109, 16, 50, 90
2, 3, 86, 84, 16, 50, 90
2, 3, 85, 80, 16, 50, 90
2, 3, 85, 88, 16, 50, 90
2, 3, 90, 92, 16, 50, 90
2, 3, 88, 91, 16, 50, 90
2, 3, 84, 92, 16, 50, 90
2, 3, 53, 89, 16, 50, 90
2, 3, 88, 84, 16, 50, 90
2, 3, 85, 85, 16, 50, 90
2, 3, 90, 84, 16, 50, 90
2, 3, 83, 105, 16, 50, 90
2, 3, 75, 81, 16, 50, 90
2, 3, 86, 101, 16, 50, 90
2, 3, 87, 85, 16, 50, 90
2, 3, 81, 77, 16, 50, 90
2, 3, 90, 96, 16, 50, 90
2, 3, 89, 87, 16, 50, 90
2, 3, 88, 91, 16, 50, 90
2, 3, 89, 91, 16, 50, 90
2, 3, 83, 70, 16, 50, 90
2, 3, 91, 96, 16, 50, 90
2, 3, 92, 92, 16, 50, 90
2, 3, 87, 82, 16, 50, 90
2, 3, 82, 90, 16, 50, 90
2, 3, 86, 85, 16, 50, 90
2, 3, 85, 79, 16, 50, 90
2, 3, 80, 74, 16, 50, 90
2, 3, 47, 61, 16, 50, 90
2, 3, 76, 68, 16, 50, 90
2, 3, 89, 90, 16, 50, 90
2, 3, 89, 86, 16, 50, 90
2, 3, 94, 108, 16, 50, 90
2, 3, 86, 94, 16, 50, 90
2, 3, 87, 88, 16, 50, 90
2, 3, 82, 76, 16, 50, 90
2, 3, 84, 90, 16, 50, 90
2, 3, 91, 105, 16, 50, 90
2, 3, 81, 65, 16, 50, 90
2, 3, 89, 99, 16, 50, 90
2, 3, 90, 93, 16, 50, 90
2, 3, 89, 94, 16, 50, 90
2, 3, 86, 85, 16, 50, 90
2, 3, 88, 99, 16, 50, 90
2, 3, 80, 74, 16, 50, 90
2, 3, 84, 85, 16, 50, 90
2, 3, 91, 96, 16, 50, 90
2, 3, 90, 98, 16, 50, 90
2, 3, 77, 79, 16, 50, 90
2, 3, 89, 94, 16, 50, 90
2, 3, 87, 95, 16, 50, 90
2, 3, 90, 87, 16, 50, 90
2, 3, 83, 73, 16, 50, 90
2, 3, 92, 101, 16, 50, 90
2, 3, 94, 102, 16, 50, 90
2, 3, 91, 98, 16, 50, 90
2, 3, 88, 89, 16, 50, 90
2, 3, 88, 92, 16, 50, 90
2, 3, 88, 90, 16, 50, 90
2, 3, 90, 95, 16, 50, 90
2, 3, 80, 76, 16, 50, 90
2, 3, 81, 89, 16, 50, 90
2, 3, 90, 96, 16, 50, 90
2, 3, 90, 95, 16, 50, 90
2, 3, 85, 81, 16, 50, 90
2, 3, 79, 83, 16, 50, 90
2, 3, 93, 106, 16, 50, 90
2, 3, 87, 86, 16, 50, 90
2, 3, 89, 97, 16, 50, 90
2, 3, 92, 93, 16, 50, 90
2, 3, 91, 93, 16, 50, 90
2, 3, 86, 86, 16, 50, 90
2, 3, 91, 113, 16, 50, 90
2, 3, 80, 84, 16, 50, 90
2, 3, 87, 86, 16, 50, 90
2, 3, 84, 93, 16, 50, 90
2, 3, 85, 91, 16, 50, 90
2, 3, 86, 88, 16, 50, 90
2, 3, 82, 87, 16, 50, 90
2, 3, 77, 64, 16, 50, 90
2, 3, 54, 66, 16, 50, 90
2, 3, 90, 91, 16, 50, 90
2, 3, 84, 73, 16, 50, 90
2, 3, 81, 72, 16, 50, 90
2, 3, 90, 92, 16, 50, 90
