from, to, dqf, range, status, distance, angle
2, 3, 90, 186, 16, 150, 330
2, 3, 73, 114, 16, 150, 330
2, 3, 75, 105, 16, 150, 330
2, 3, 75, 127, 16, 150, 330
2, 3, 87, 160, 16, 150, 330
2, 3, 85, 166, 16, 150, 330
2, 3, 85, 212, 16, 150, 330
2, 3, 71, 125, 16, 150, 330
2, 3, 83, 196, 16, 150, 330
2, 3, 67, 145, 16, 150, 330
2, 3, 85, 166, 16, 150, 330
2, 3, 49, 114, 16, 150, 330
2, 3, 88, 165, 16, 150, 330
2, 3, 84, 139, 16, 150, 330
2, 3, 90, 174, 16, 150, 330
2, 3, 71, 124, 16, 150, 330
2, 3, 81, 154, 16, 150, 330
2, 3, 78, 187, 16, 150, 330
2, 3, 78, 173, 16, 150, 330
2, 3, 85, 136, 16, 150, 330
2, 3, 76, 161, 16, 150, 330
2, 3, 57, 80, 16, 150, 330
2, 3, 90, 185, 16, 150, 330
2, 3, 84, 141, 16, 150, 330
2, 3, 86, 151, 16, 150, 330
2, 3, 94, 192, 16, 150, 330
2, 3, 86, 168, 16, 150, 330
2, 3, 84, 170, 16, 150, 330
2, 3, 83, 165, 16, 150, 330
2, 3, 49, 148, 16, 150, 330
2, 3, 90, 180, 16, 150, 330
2, 3, 82, 172, 16, 150, 330
2, 3, 86, 148, 16, 150, 330
2, 3, 70, 119, 16, 150, 330
2, 3, 76, 125, 16, 150, 330
2, 3, 67, 137, 16, 150, 330
2, 3, 82, 126, 16, 150, 330
2, 3, 86, 178, 16, 150, 330
2, 3, 87, 140, 16, 150, 330
2, 3, 80, 129, 16, 150, 330
2, 3, 92, 191, 16, 150, 330
2, 3, 90, 179, 16, 150, 330
2, 3, 83, 220, 16, 150, 330
2, 3, 74, 108, 16, 150, 330
2, 3, 76, 100, 16, 150, 330
2, 3, 83, 165, 16, 150, 330
2, 3, 70, 96, 16, 150, 330
2, 3, 82, 123, 16, 150, 330
2, 3, 85, 143, 16, 150, 330
2, 3, 87, 198, 16, 150, 330
2, 3, 50, 163, 16, 150, 330
2, 3, 85, 146, 16, 150, 330
2, 3, 85, 195, 16, 150, 330
2, 3, 86, 152, 16, 150, 330
2, 3, 93, 198, 16, 150, 330
2, 3, 77, 137, 16, 150, 330
2, 3, 90, 187, 16, 150, 330
2, 3, 86, 198, 16, 150, 330
2, 3, 75, 142, 16, 150, 330
2, 3, 39, 136, 16, 150, 330
2, 3, 70, 124, 16, 150, 330
2, 3, 90, 193, 16, 150, 330
2, 3, 82, 130, 16, 150, 330
2, 3, 83, 131, 16, 150, 330
2, 3, 92, 194, 16, 150, 330
2, 3, 87, 154, 16, 150, 330
2, 3, 89, 195, 16, 150, 330
2, 3, 77, 193, 16, 150, 330
2, 3, 85, 153, 16, 150, 330
2, 3, 0, 157, 16, 150, 330
2, 3, 72, 135, 16, 150, 330
2, 3, 90, 177, 16, 150, 330
2, 3, 88, 188, 16, 150, 330
2, 3, 83, 145, 16, 150, 330
2, 3, 87, 169, 16, 150, 330
2, 3, 87, 159, 16, 150, 330
2, 3, 90, 196, 16, 150, 330
2, 3, 74, 141, 16, 150, 330
2, 3, 44, 118, 16, 150, 330
2, 3, 74, 117, 16, 150, 330
2, 3, 75, 151, 16, 150, 330
2, 3, 99, 187, 16, 150, 330
2, 3, 69, 153, 16, 150, 330
2, 3, 90, 189, 16, 150, 330
2, 3, 82, 142, 16, 150, 330
2, 3, 90, 193, 16, 150, 330
2, 3, 89, 177, 16, 150, 330
2, 3, 77, 210, 16, 150, 330
2, 3, 90, 197, 16, 150, 330
2, 3, 68, 158, 16, 150, 330
2, 3, 86, 167, 16, 150, 330
2, 3, 82, 164, 16, 150, 330
2, 3, 77, 151, 16, 150, 330
2, 3, 88, 195, 16, 150, 330
2, 3, 71, 171, 16, 150, 330
2, 3, 79, 116, 16, 150, 330
2, 3, 91, 177, 16, 150, 330
2, 3, 84, 150, 16, 150, 330
2, 3, 88, 192, 16, 150, 330
2, 3, 40, 121, 16, 150, 330
2, 3, 89, 186, 16, 150, 330
2, 3, 85, 152, 16, 150, 330
2, 3, 90, 183, 16, 150, 330
2, 3, 87, 179, 16, 150, 330
2, 3, 80, 110, 16, 150, 330
2, 3, 78, 172, 16, 150, 330
2, 3, 73, 107, 16, 150, 330
2, 3, 80, 173, 16, 150, 330
2, 3, 80, 141, 16, 150, 330
2, 3, 88, 183, 16, 150, 330
2, 3, 89, 185, 16, 150, 330
2, 3, 90, 191, 16, 150, 330
2, 3, 89, 161, 16, 150, 330
2, 3, 93, 204, 16, 150, 330
2, 3, 93, 210, 16, 150, 330
2, 3, 81, 135, 16, 150, 330
2, 3, 75, 155, 16, 150, 330
2, 3, 81, 129, 16, 150, 330
2, 3, 86, 210, 16, 150, 330
2, 3, 62, 165, 16, 150, 330
2, 3, 87, 189, 16, 150, 330
2, 3, 87, 149, 16, 150, 330
2, 3, 92, 208, 16, 150, 330
2, 3, 88, 191, 16, 150, 330
2, 3, 88, 193, 16, 150, 330
2, 3, 92, 193, 16, 150, 330
2, 3, 79, 122, 16, 150, 330
2, 3, 92, 164, 16, 150, 330
2, 3, 80, 201, 16, 150, 330
2, 3, 77, 103, 16, 150, 330
2, 3, 79, 142, 16, 150, 330
2, 3, 72, 137, 16, 150, 330
2, 3, 90, 200, 16, 150, 330
2, 3, 89, 193, 16, 150, 330
2, 3, 88, 179, 16, 150, 330
2, 3, 81, 153, 16, 150, 330
2, 3, 88, 194, 16, 150, 330
2, 3, 53, 177, 16, 150, 330
2, 3, 82, 141, 16, 150, 330
2, 3, 86, 163, 16, 150, 330
2, 3, 80, 157, 16, 150, 330
2, 3, 86, 179, 16, 150, 330
2, 3, 89, 189, 16, 150, 330
2, 3, 78, 201, 16, 150, 330
2, 3, 85, 171, 16, 150, 330
2, 3, 85, 149, 16, 150, 330
2, 3, 76, 160, 16, 150, 330
2, 3, 85, 158, 16, 150, 330
2, 3, 88, 179, 16, 150, 330
2, 3, 86, 176, 16, 150, 330
2, 3, 43, 209, 16, 150, 330
2, 3, 78, 113, 16, 150, 330
2, 3, 83, 148, 16, 150, 330
2, 3, 89, 193, 16, 150, 330
2, 3, 82, 143, 16, 150, 330
2, 3, 80, 167, 16, 150, 330
2, 3, 87, 169, 16, 150, 330
2, 3, 92, 184, 16, 150, 330
2, 3, 83, 176, 16, 150, 330
2, 3, 82, 133, 16, 150, 330
2, 3, 84, 146, 16, 150, 330
2, 3, 85, 175, 16, 150, 330
2, 3, 83, 142, 16, 150, 330
2, 3, 82, 139, 16, 150, 330
2, 3, 79, 137, 16, 150, 330
2, 3, 79, 133, 16, 150, 330
