from, to, dqf, range, status, distance
3, 2, 62, 84, 16, 120
3, 2, 76, 64, 16, 120
3, 2, 81, 78, 16, 120
3, 2, 73, 121, 16, 120
3, 2, 80, 103, 16, 120
3, 2, 88, 115, 16, 120
3, 2, 95, 130, 16, 120
3, 2, 81, 80, 16, 120
3, 2, 86, 111, 16, 120
3, 2, 82, 84, 16, 120
3, 2, 92, 123, 16, 120
3, 2, 94, 129, 16, 120
3, 2, 92, 128, 16, 120
3, 2, 78, 72, 16, 120
3, 2, 99, 141, 16, 120
3, 2, 85, 128, 16, 120
3, 2, 81, 135, 16, 120
3, 2, 92, 123, 16, 120
3, 2, 89, 109, 16, 120
3, 2, 81, 78, 16, 120
3, 2, 86, 96, 16, 120
3, 2, 80, 75, 16, 120
3, 2, 64, 75, 16, 120
3, 2, 91, 116, 16, 120
3, 2, 92, 134, 16, 120
3, 2, 96, 134, 16, 120
3, 2, 75, 92, 16, 120
3, 2, 79, 71, 16, 120
3, 2, 78, 81, 16, 120
3, 2, 81, 114, 16, 120
3, 2, 92, 119, 16, 120
3, 2, 88, 117, 16, 120
3, 2, 93, 150, 16, 120
3, 2, 74, 119, 16, 120
3, 2, 80, 84, 16, 120
3, 2, 69, 71, 16, 120
3, 2, 76, 82, 16, 120
3, 2, 90, 98, 16, 120
3, 2, 91, 121, 16, 120
3, 2, 73, 93, 16, 120
3, 2, 73, 119, 16, 120
3, 2, 90, 133, 16, 120
3, 2, 96, 123, 16, 120
3, 2, 78, 75, 16, 120
3, 2, 90, 121, 16, 120
3, 2, 78, 73, 16, 120
3, 2, 94, 126, 16, 120
3, 2, 87, 147, 16, 120
3, 2, 78, 81, 16, 120
3, 2, 76, 89, 16, 120
