from, to, dqf, range, status, distance
2, 3, 73, 100, 16, 200
2, 3, 96, 126, 16, 200
2, 3, 92, 102, 16, 200
2, 3, 84, 99, 16, 200
2, 3, 92, 109, 16, 200
2, 3, 88, 98, 16, 200
2, 3, 92, 111, 16, 200
2, 3, 84, 89, 16, 200
2, 3, 85, 100, 16, 200
2, 3, 96, 111, 16, 200
2, 3, 93, 108, 16, 200
2, 3, 87, 95, 16, 200
2, 3, 81, 103, 16, 200
2, 3, 90, 104, 16, 200
2, 3, 81, 103, 16, 200
2, 3, 94, 121, 16, 200
2, 3, 81, 120, 16, 200
2, 3, 86, 109, 16, 200
2, 3, 86, 95, 16, 200
2, 3, 86, 93, 16, 200
2, 3, 82, 92, 16, 200
2, 3, 82, 109, 16, 200
2, 3, 73, 94, 16, 200
2, 3, 87, 96, 16, 200
2, 3, 83, 100, 16, 200
2, 3, 82, 104, 16, 200
2, 3, 93, 97, 16, 200
2, 3, 89, 92, 16, 200
2, 3, 81, 77, 16, 200
2, 3, 85, 99, 16, 200
2, 3, 92, 102, 16, 200
2, 3, 87, 100, 16, 200
2, 3, 92, 112, 16, 200
2, 3, 98, 113, 16, 200
2, 3, 78, 112, 16, 200
2, 3, 77, 111, 16, 200
2, 3, 88, 105, 16, 200
2, 3, 78, 83, 16, 200
2, 3, 84, 108, 16, 200
2, 3, 89, 103, 16, 200
2, 3, 85, 90, 16, 200
2, 3, 77, 114, 16, 200
2, 3, 86, 93, 16, 200
2, 3, 79, 100, 16, 200
2, 3, 93, 108, 16, 200
2, 3, 92, 98, 16, 200
2, 3, 80, 98, 16, 200
2, 3, 88, 136, 16, 200
2, 3, 80, 97, 16, 200
2, 3, 78, 111, 16, 200
