from, to, dqf, range, status, distance
2, 1, 85, 108, 16, 150
2, 1, 82, 101, 16, 150
2, 1, 93, 133, 16, 150
2, 1, 100, 158, 16, 150
2, 1, 97, 158, 16, 150
2, 1, 82, 160, 16, 150
2, 1, 82, 108, 16, 150
2, 1, 98, 155, 16, 150
2, 1, 94, 131, 16, 150
2, 1, 92, 131, 16, 150
2, 1, 98, 156, 16, 150
2, 1, 86, 137, 16, 150
2, 1, 96, 148, 16, 150
2, 1, 86, 127, 16, 150
2, 1, 92, 124, 16, 150
2, 1, 83, 118, 16, 150
2, 1, 90, 120, 16, 150
2, 1, 85, 140, 16, 150
2, 1, 97, 158, 16, 150
2, 1, 90, 123, 16, 150
2, 1, 90, 124, 16, 150
2, 1, 83, 108, 16, 150
2, 1, 96, 155, 16, 150
2, 1, 77, 116, 16, 150
2, 1, 91, 127, 16, 150
2, 1, 79, 102, 16, 150
2, 1, 85, 111, 16, 150
2, 1, 99, 164, 16, 150
2, 1, 91, 118, 16, 150
2, 1, 81, 129, 16, 150
2, 1, 90, 120, 16, 150
2, 1, 93, 142, 16, 150
2, 1, 83, 109, 16, 150
2, 1, 96, 139, 16, 150
2, 1, 80, 113, 16, 150
2, 1, 88, 116, 16, 150
2, 1, 89, 145, 16, 150
2, 1, 99, 159, 16, 150
2, 1, 98, 162, 16, 150
2, 1, 89, 124, 16, 150
2, 1, 78, 121, 16, 150
2, 1, 98, 160, 16, 150
2, 1, 80, 153, 16, 150
2, 1, 85, 112, 16, 150
2, 1, 84, 105, 16, 150
2, 1, 96, 158, 16, 150
2, 1, 71, 107, 16, 150
2, 1, 99, 169, 16, 150
2, 1, 97, 151, 16, 150
2, 1, 97, 156, 16, 150
