from, to, dqf, range, status, distance
1, 3, 63, 81, 16, 150
1, 3, 80, 93, 16, 150
1, 3, 88, 111, 16, 150
1, 3, 94, 83, 16, 150
1, 3, 88, 116, 16, 150
1, 3, 86, 99, 16, 150
1, 3, 80, 106, 16, 150
1, 3, 73, 119, 16, 150
1, 3, 79, 84, 16, 150
1, 3, 90, 117, 16, 150
1, 3, 88, 88, 16, 150
1, 3, 100, 134, 16, 150
1, 3, 80, 72, 16, 150
1, 3, 82, 102, 16, 150
1, 3, 77, 111, 16, 150
1, 3, 85, 107, 16, 150
1, 3, 83, 69, 16, 150
1, 3, 72, 130, 16, 150
1, 3, 87, 112, 16, 150
1, 3, 94, 113, 16, 150
1, 3, 91, 102, 16, 150
1, 3, 67, 76, 16, 150
1, 3, 79, 89, 16, 150
1, 3, 76, 80, 16, 150
1, 3, 77, 121, 16, 150
1, 3, 80, 90, 16, 150
1, 3, 91, 95, 16, 150
1, 3, 79, 73, 16, 150
1, 3, 88, 95, 16, 150
1, 3, 100, 105, 16, 150
1, 3, 65, 94, 16, 150
1, 3, 76, 111, 16, 150
1, 3, 94, 121, 16, 150
1, 3, 82, 112, 16, 150
1, 3, 90, 108, 16, 150
1, 3, 83, 97, 16, 150
1, 3, 80, 120, 16, 150
1, 3, 70, 84, 16, 150
1, 3, 83, 139, 16, 150
1, 3, 73, 68, 16, 150
1, 3, 84, 105, 16, 150
1, 3, 85, 102, 16, 150
1, 3, 65, 103, 16, 150
1, 3, 77, 71, 16, 150
1, 3, 69, 75, 16, 150
1, 3, 66, 98, 16, 150
1, 3, 70, 94, 16, 150
1, 3, 75, 76, 16, 150
1, 3, 57, 76, 16, 150
1, 3, 82, 76, 16, 150
