from, to, dqf, range, status, distance
3, 1, 69, 98, 16, 150
3, 1, 92, 87, 16, 150
3, 1, 77, 98, 16, 150
3, 1, 92, 91, 16, 150
3, 1, 97, 89, 16, 150
3, 1, 69, 83, 16, 150
3, 1, 81, 90, 16, 150
3, 1, 68, 101, 16, 150
3, 1, 83, 100, 16, 150
3, 1, 77, 64, 16, 150
3, 1, 76, 62, 16, 150
3, 1, 60, 61, 16, 150
3, 1, 89, 90, 16, 150
3, 1, 84, 81, 16, 150
3, 1, 81, 81, 16, 150
3, 1, 92, 97, 16, 150
3, 1, 79, 65, 16, 150
3, 1, 75, 84, 16, 150
3, 1, 100, 74, 16, 150
3, 1, 95, 83, 16, 150
3, 1, 80, 60, 16, 150
3, 1, 76, 100, 16, 150
3, 1, 93, 72, 16, 150
3, 1, 77, 84, 16, 150
3, 1, 84, 95, 16, 150
3, 1, 93, 84, 16, 150
3, 1, 79, 97, 16, 150
3, 1, 96, 100, 16, 150
3, 1, 85, 84, 16, 150
3, 1, 70, 148, 16, 150
3, 1, 92, 84, 16, 150
3, 1, 84, 72, 16, 150
3, 1, 85, 65, 16, 150
3, 1, 96, 102, 16, 150
3, 1, 87, 78, 16, 150
3, 1, 66, 91, 16, 150
3, 1, 98, 98, 16, 150
3, 1, 85, 97, 16, 150
3, 1, 90, 89, 16, 150
3, 1, 89, 80, 16, 150
3, 1, 96, 77, 16, 150
3, 1, 75, 90, 16, 150
3, 1, 80, 91, 16, 150
3, 1, 83, 59, 16, 150
3, 1, 75, 98, 16, 150
3, 1, 78, 94, 16, 150
3, 1, 86, 65, 16, 150
3, 1, 88, 118, 16, 150
3, 1, 78, 98, 16, 150
3, 1, 84, 76, 16, 150
