from, to, dqf, range, status, distance
2, 3, 89, 135, 16, 200
2, 3, 87, 120, 16, 200
2, 3, 100, 157, 16, 200
2, 3, 76, 116, 16, 200
2, 3, 95, 134, 16, 200
2, 3, 93, 131, 16, 200
2, 3, 95, 132, 16, 200
2, 3, 94, 127, 16, 200
2, 3, 92, 130, 16, 200
2, 3, 97, 136, 16, 200
2, 3, 98, 138, 16, 200
2, 3, 97, 128, 16, 200
2, 3, 95, 120, 16, 200
2, 3, 99, 139, 16, 200
2, 3, 90, 121, 16, 200
2, 3, 94, 139, 16, 200
2, 3, 99, 133, 16, 200
2, 3, 80, 111, 16, 200
2, 3, 93, 132, 16, 200
2, 3, 100, 166, 16, 200
2, 3, 97, 140, 16, 200
2, 3, 86, 117, 16, 200
2, 3, 96, 138, 16, 200
2, 3, 97, 132, 16, 200
2, 3, 89, 113, 16, 200
2, 3, 0, 318, 16, 200
2, 3, 95, 136, 16, 200
2, 3, 95, 132, 16, 200
2, 3, 93, 133, 16, 200
2, 3, 89, 119, 16, 200
2, 3, 97, 132, 16, 200
2, 3, 94, 126, 16, 200
2, 3, 97, 138, 16, 200
2, 3, 87, 138, 16, 200
2, 3, 82, 123, 16, 200
2, 3, 96, 140, 16, 200
2, 3, 93, 133, 16, 200
2, 3, 89, 135, 16, 200
2, 3, 97, 140, 16, 200
2, 3, 95, 138, 16, 200
2, 3, 98, 141, 16, 200
2, 3, 93, 130, 16, 200
2, 3, 93, 145, 16, 200
2, 3, 94, 133, 16, 200
2, 3, 91, 124, 16, 200
2, 3, 97, 135, 16, 200
2, 3, 92, 120, 16, 200
2, 3, 100, 149, 16, 200
2, 3, 85, 141, 16, 200
2, 3, 97, 145, 16, 200
2, 3, 100, 146, 16, 200
