from, to, dqf, range, status, distance
2, 3, 97, 140, 16, 200
2, 3, 94, 127, 16, 200
2, 3, 95, 132, 16, 200
2, 3, 96, 131, 16, 200
2, 3, 92, 124, 16, 200
2, 3, 96, 145, 16, 200
2, 3, 92, 121, 16, 200
2, 3, 87, 127, 16, 200
2, 3, 99, 139, 16, 200
2, 3, 92, 124, 16, 200
2, 3, 95, 136, 16, 200
2, 3, 98, 145, 16, 200
2, 3, 90, 130, 16, 200
2, 3, 94, 132, 16, 200
2, 3, 100, 133, 16, 200
2, 3, 93, 136, 16, 200
2, 3, 84, 135, 16, 200
2, 3, 98, 137, 16, 200
2, 3, 93, 129, 16, 200
2, 3, 96, 130, 16, 200
2, 3, 0, 344, 16, 200
2, 3, 93, 130, 16, 200
2, 3, 96, 145, 16, 200
2, 3, 99, 148, 16, 200
2, 3, 92, 123, 16, 200
2, 3, 98, 136, 16, 200
2, 3, 91, 147, 16, 200
2, 3, 97, 139, 16, 200
2, 3, 95, 127, 16, 200
2, 3, 94, 134, 16, 200
2, 3, 93, 139, 16, 200
2, 3, 91, 132, 16, 200
2, 3, 82, 117, 16, 200
2, 3, 85, 114, 16, 200
2, 3, 96, 149, 16, 200
2, 3, 96, 132, 16, 200
2, 3, 98, 140, 16, 200
2, 3, 97, 143, 16, 200
2, 3, 93, 128, 16, 200
2, 3, 94, 133, 16, 200
2, 3, 93, 138, 16, 200
2, 3, 92, 124, 16, 200
2, 3, 100, 139, 16, 200
2, 3, 93, 126, 16, 200
2, 3, 96, 137, 16, 200
2, 3, 93, 142, 16, 200
2, 3, 90, 127, 16, 200
2, 3, 95, 126, 16, 200
2, 3, 91, 132, 16, 200
2, 3, 94, 140, 16, 200
2, 3, 98, 150, 16, 200
