from, to, dqf, range, status, distance
3, 2, 97, 121, 16, 200
3, 2, 91, 124, 16, 200
3, 2, 98, 121, 16, 200
3, 2, 100, 132, 16, 200
3, 2, 97, 115, 16, 200
3, 2, 97, 123, 16, 200
3, 2, 92, 102, 16, 200
3, 2, 96, 121, 16, 200
3, 2, 83, 123, 16, 200
3, 2, 97, 117, 16, 200
3, 2, 94, 114, 16, 200
3, 2, 95, 112, 16, 200
3, 2, 86, 107, 16, 200
3, 2, 92, 108, 16, 200
3, 2, 100, 123, 16, 200
3, 2, 100, 131, 16, 200
3, 2, 100, 145, 16, 200
3, 2, 96, 108, 16, 200
3, 2, 96, 117, 16, 200
3, 2, 100, 123, 16, 200
3, 2, 100, 135, 16, 200
3, 2, 90, 96, 16, 200
3, 2, 94, 109, 16, 200
3, 2, 100, 129, 16, 200
3, 2, 87, 117, 16, 200
3, 2, 95, 113, 16, 200
3, 2, 0, 349, 16, 200
3, 2, 91, 107, 16, 200
3, 2, 100, 124, 16, 200
3, 2, 0, 284, 16, 200
3, 2, 91, 115, 16, 200
3, 2, 93, 113, 16, 200
3, 2, 94, 116, 16, 200
3, 2, 95, 117, 16, 200
3, 2, 95, 124, 16, 200
3, 2, 100, 139, 16, 200
3, 2, 94, 110, 16, 200
3, 2, 95, 109, 16, 200
3, 2, 94, 113, 16, 200
3, 2, 96, 114, 16, 200
3, 2, 100, 136, 16, 200
3, 2, 94, 111, 16, 200
3, 2, 90, 113, 16, 200
3, 2, 86, 101, 16, 200
3, 2, 90, 118, 16, 200
3, 2, 88, 121, 16, 200
3, 2, 97, 135, 16, 200
3, 2, 96, 114, 16, 200
3, 2, 95, 117, 16, 200
3, 2, 96, 127, 16, 200
3, 2, 97, 121, 16, 200
3, 2, 94, 114, 16, 200
