from, to, dqf, range, status, distance
3, 1, 70, 82, 16, 150
3, 1, 98, 94, 16, 150
3, 1, 84, 95, 16, 150
3, 1, 79, 109, 16, 150
3, 1, 91, 109, 16, 150
3, 1, 89, 77, 16, 150
3, 1, 76, 62, 16, 150
3, 1, 90, 81, 16, 150
3, 1, 78, 122, 16, 150
3, 1, 83, 93, 16, 150
3, 1, 100, 112, 16, 150
3, 1, 68, 83, 16, 150
3, 1, 98, 86, 16, 150
3, 1, 66, 51, 16, 150
3, 1, 86, 111, 16, 150
3, 1, 98, 88, 16, 150
3, 1, 68, 59, 16, 150
3, 1, 62, 97, 16, 150
3, 1, 70, 62, 16, 150
3, 1, 86, 78, 16, 150
3, 1, 81, 77, 16, 150
3, 1, 88, 76, 16, 150
3, 1, 95, 108, 16, 150
3, 1, 88, 96, 16, 150
3, 1, 77, 99, 16, 150
3, 1, 99, 103, 16, 150
3, 1, 100, 82, 16, 150
3, 1, 71, 89, 16, 150
3, 1, 100, 86, 16, 150
3, 1, 83, 98, 16, 150
3, 1, 80, 88, 16, 150
3, 1, 96, 100, 16, 150
3, 1, 66, 94, 16, 150
3, 1, 100, 90, 16, 150
3, 1, 78, 57, 16, 150
3, 1, 92, 79, 16, 150
3, 1, 71, 60, 16, 150
3, 1, 75, 90, 16, 150
3, 1, 78, 54, 16, 150
3, 1, 94, 99, 16, 150
3, 1, 86, 71, 16, 150
3, 1, 74, 116, 16, 150
3, 1, 91, 91, 16, 150
3, 1, 62, 89, 16, 150
3, 1, 88, 94, 16, 150
3, 1, 87, 78, 16, 150
3, 1, 71, 73, 16, 150
3, 1, 96, 77, 16, 150
3, 1, 70, 98, 16, 150
3, 1, 86, 75, 16, 150
