from, to, dqf, range, status, distance
2, 1, 86, 148, 16, 150
2, 1, 91, 157, 16, 150
2, 1, 94, 155, 16, 150
2, 1, 93, 142, 16, 150
2, 1, 95, 145, 16, 150
2, 1, 92, 158, 16, 150
2, 1, 67, 144, 16, 150
2, 1, 95, 146, 16, 150
2, 1, 75, 147, 16, 150
2, 1, 95, 152, 16, 150
2, 1, 84, 161, 16, 150
2, 1, 82, 119, 16, 150
2, 1, 95, 138, 16, 150
2, 1, 94, 151, 16, 150
2, 1, 94, 131, 16, 150
2, 1, 92, 154, 16, 150
2, 1, 93, 152, 16, 150
2, 1, 97, 158, 16, 150
2, 1, 91, 154, 16, 150
2, 1, 96, 160, 16, 150
2, 1, 91, 151, 16, 150
2, 1, 92, 149, 16, 150
2, 1, 97, 150, 16, 150
2, 1, 75, 116, 16, 150
2, 1, 92, 148, 16, 150
2, 1, 93, 151, 16, 150
2, 1, 94, 143, 16, 150
2, 1, 87, 152, 16, 150
2, 1, 76, 102, 16, 150
2, 1, 93, 136, 16, 150
2, 1, 85, 143, 16, 150
2, 1, 87, 143, 16, 150
2, 1, 94, 149, 16, 150
2, 1, 93, 140, 16, 150
2, 1, 79, 117, 16, 150
2, 1, 79, 103, 16, 150
2, 1, 91, 146, 16, 150
2, 1, 96, 161, 16, 150
2, 1, 88, 145, 16, 150
2, 1, 92, 149, 16, 150
2, 1, 75, 137, 16, 150
2, 1, 91, 148, 16, 150
2, 1, 95, 168, 16, 150
2, 1, 93, 162, 16, 150
2, 1, 92, 146, 16, 150
2, 1, 89, 149, 16, 150
2, 1, 79, 135, 16, 150
2, 1, 93, 155, 16, 150
2, 1, 95, 155, 16, 150
2, 1, 94, 151, 16, 150
