from, to, dqf, range, status, distance
2, 1, 87, 115, 16, 150
2, 1, 98, 155, 16, 150
2, 1, 87, 118, 16, 150
2, 1, 88, 111, 16, 150
2, 1, 81, 98, 16, 150
2, 1, 99, 140, 16, 150
2, 1, 100, 152, 16, 150
2, 1, 93, 143, 16, 150
2, 1, 81, 96, 16, 150
2, 1, 81, 124, 16, 150
2, 1, 94, 128, 16, 150
2, 1, 80, 93, 16, 150
2, 1, 82, 122, 16, 150
2, 1, 76, 107, 16, 150
2, 1, 77, 111, 16, 150
2, 1, 97, 139, 16, 150
2, 1, 82, 96, 16, 150
2, 1, 80, 139, 16, 150
2, 1, 95, 143, 16, 150
2, 1, 72, 147, 16, 150
2, 1, 77, 139, 16, 150
2, 1, 94, 136, 16, 150
2, 1, 93, 132, 16, 150
2, 1, 68, 116, 16, 150
2, 1, 77, 103, 16, 150
2, 1, 87, 112, 16, 150
2, 1, 97, 147, 16, 150
2, 1, 88, 114, 16, 150
2, 1, 94, 133, 16, 150
2, 1, 67, 138, 16, 150
2, 1, 57, 104, 16, 150
2, 1, 90, 117, 16, 150
2, 1, 94, 139, 16, 150
2, 1, 81, 93, 16, 150
2, 1, 91, 124, 16, 150
2, 1, 90, 118, 16, 150
2, 1, 89, 120, 16, 150
2, 1, 89, 115, 16, 150
2, 1, 95, 144, 16, 150
2, 1, 79, 93, 16, 150
2, 1, 93, 145, 16, 150
2, 1, 81, 141, 16, 150
2, 1, 87, 112, 16, 150
2, 1, 92, 135, 16, 150
2, 1, 91, 127, 16, 150
2, 1, 99, 144, 16, 150
2, 1, 88, 117, 16, 150
2, 1, 98, 141, 16, 150
2, 1, 94, 153, 16, 150
2, 1, 95, 136, 16, 150
