from, to, dqf, range, status, distance
1, 3, 77, 118, 16, 200
1, 3, 88, 162, 16, 200
1, 3, 90, 188, 16, 200
1, 3, 87, 194, 16, 200
1, 3, 79, 148, 16, 200
1, 3, 83, 135, 16, 200
1, 3, 89, 169, 16, 200
1, 3, 80, 138, 16, 200
1, 3, 94, 205, 16, 200
1, 3, 72, 100, 16, 200
1, 3, 80, 154, 16, 200
1, 3, 84, 173, 16, 200
1, 3, 79, 150, 16, 200
1, 3, 89, 174, 16, 200
1, 3, 84, 143, 16, 200
1, 3, 80, 170, 16, 200
1, 3, 83, 180, 16, 200
1, 3, 93, 196, 16, 200
1, 3, 86, 191, 16, 200
1, 3, 84, 157, 16, 200
1, 3, 85, 152, 16, 200
1, 3, 77, 141, 16, 200
1, 3, 80, 120, 16, 200
1, 3, 92, 193, 16, 200
1, 3, 84, 163, 16, 200
1, 3, 92, 198, 16, 200
1, 3, 80, 123, 16, 200
1, 3, 93, 218, 16, 200
1, 3, 67, 109, 16, 200
1, 3, 79, 115, 16, 200
1, 3, 78, 129, 16, 200
1, 3, 88, 168, 16, 200
1, 3, 92, 199, 16, 200
1, 3, 89, 208, 16, 200
1, 3, 74, 158, 16, 200
1, 3, 94, 233, 16, 200
1, 3, 84, 161, 16, 200
1, 3, 94, 198, 16, 200
1, 3, 87, 161, 16, 200
1, 3, 82, 138, 16, 200
1, 3, 76, 177, 16, 200
1, 3, 89, 179, 16, 200
1, 3, 81, 133, 16, 200
1, 3, 93, 194, 16, 200
1, 3, 87, 152, 16, 200
1, 3, 83, 146, 16, 200
1, 3, 75, 188, 16, 200
1, 3, 89, 174, 16, 200
1, 3, 91, 184, 16, 200
1, 3, 82, 142, 16, 200
