from, to, dqf, range, status, distance
3, 1, 81, 179, 16, 200
3, 1, 84, 238, 16, 200
3, 1, 67, 141, 16, 200
3, 1, 100, 86, 16, 200
3, 1, 70, 163, 16, 200
3, 1, 79, 152, 16, 200
3, 1, 66, 225, 16, 200
3, 1, 85, 161, 16, 200
3, 1, 73, 164, 16, 200
3, 1, 51, 106, 16, 200
3, 1, 71, 116, 16, 200
3, 1, 73, 231, 16, 200
3, 1, 69, 115, 16, 200
3, 1, 76, 168, 16, 200
3, 1, 67, 140, 16, 200
3, 1, 81, 213, 16, 200
3, 1, 65, 204, 16, 200
3, 1, 85, 175, 16, 200
3, 1, 73, 163, 16, 200
3, 1, 98, 246, 16, 200
3, 1, 93, 231, 16, 200
3, 1, 69, 124, 16, 200
3, 1, 90, 237, 16, 200
3, 1, 82, 195, 16, 200
3, 1, 82, 185, 16, 200
3, 1, 60, 113, 16, 200
3, 1, 69, 230, 16, 200
3, 1, 78, 154, 16, 200
3, 1, 88, 183, 16, 200
3, 1, 78, 207, 16, 200
3, 1, 51, 255, 16, 200
3, 1, 75, 224, 16, 200
3, 1, 76, 164, 16, 200
3, 1, 80, 208, 16, 200
3, 1, 88, 226, 16, 200
3, 1, 78, 201, 16, 200
3, 1, 81, 153, 16, 200
3, 1, 91, 189, 16, 200
3, 1, 75, 132, 16, 200
3, 1, 83, 233, 16, 200
3, 1, 73, 174, 16, 200
3, 1, 85, 162, 16, 200
3, 1, 76, 215, 16, 200
3, 1, 68, 141, 16, 200
3, 1, 73, 155, 16, 200
3, 1, 77, 182, 16, 200
3, 1, 79, 231, 16, 200
3, 1, 65, 113, 16, 200
3, 1, 87, 195, 16, 200
3, 1, 80, 200, 16, 200
