from, to, dqf, range, status, distance
3, 2, 95, 132, 16, 200
3, 2, 95, 126, 16, 200
3, 2, 92, 110, 16, 200
3, 2, 97, 123, 16, 200
3, 2, 99, 126, 16, 200
3, 2, 94, 114, 16, 200
3, 2, 96, 115, 16, 200
3, 2, 96, 119, 16, 200
3, 2, 100, 134, 16, 200
3, 2, 87, 119, 16, 200
3, 2, 85, 121, 16, 200
3, 2, 88, 120, 16, 200
3, 2, 88, 113, 16, 200
3, 2, 92, 111, 16, 200
3, 2, 73, 105, 16, 200
3, 2, 99, 130, 16, 200
3, 2, 96, 109, 16, 200
3, 2, 94, 120, 16, 200
3, 2, 100, 135, 16, 200
3, 2, 94, 114, 16, 200
3, 2, 92, 116, 16, 200
3, 2, 0, 322, 16, 200
3, 2, 96, 126, 16, 200
3, 2, 90, 99, 16, 200
3, 2, 94, 113, 16, 200
3, 2, 94, 117, 16, 200
3, 2, 86, 107, 16, 200
3, 2, 82, 121, 16, 200
3, 2, 87, 95, 16, 200
3, 2, 74, 111, 16, 200
3, 2, 97, 127, 16, 200
3, 2, 100, 142, 16, 200
3, 2, 92, 117, 16, 200
3, 2, 94, 124, 16, 200
3, 2, 100, 129, 16, 200
3, 2, 90, 116, 16, 200
3, 2, 97, 124, 16, 200
3, 2, 98, 116, 16, 200
3, 2, 97, 120, 16, 200
3, 2, 94, 112, 16, 200
3, 2, 94, 107, 16, 200
3, 2, 96, 113, 16, 200
3, 2, 94, 116, 16, 200
3, 2, 92, 114, 16, 200
3, 2, 98, 127, 16, 200
3, 2, 86, 108, 16, 200
3, 2, 98, 139, 16, 200
3, 2, 93, 112, 16, 200
3, 2, 95, 111, 16, 200
3, 2, 93, 112, 16, 200
3, 2, 100, 133, 16, 200
