from, to, dqf, range, status, distance
1, 2, 94, 152, 16, 150
1, 2, 96, 155, 16, 150
1, 2, 95, 149, 16, 150
1, 2, 97, 146, 16, 150
1, 2, 93, 155, 16, 150
1, 2, 80, 157, 16, 150
1, 2, 100, 157, 16, 150
1, 2, 95, 152, 16, 150
1, 2, 91, 148, 16, 150
1, 2, 93, 151, 16, 150
1, 2, 95, 137, 16, 150
1, 2, 90, 155, 16, 150
1, 2, 96, 154, 16, 150
1, 2, 95, 155, 16, 150
1, 2, 88, 124, 16, 150
1, 2, 94, 151, 16, 150
1, 2, 96, 152, 16, 150
1, 2, 94, 155, 16, 150
1, 2, 95, 149, 16, 150
1, 2, 87, 162, 16, 150
1, 2, 72, 158, 16, 150
1, 2, 93, 149, 16, 150
1, 2, 95, 148, 16, 150
1, 2, 90, 148, 16, 150
1, 2, 95, 151, 16, 150
1, 2, 94, 154, 16, 150
1, 2, 92, 152, 16, 150
1, 2, 93, 140, 16, 150
1, 2, 97, 155, 16, 150
1, 2, 94, 154, 16, 150
1, 2, 94, 146, 16, 150
1, 2, 97, 154, 16, 150
1, 2, 86, 149, 16, 150
1, 2, 99, 155, 16, 150
1, 2, 93, 140, 16, 150
1, 2, 92, 146, 16, 150
1, 2, 96, 154, 16, 150
1, 2, 79, 149, 16, 150
1, 2, 93, 161, 16, 150
1, 2, 94, 146, 16, 150
1, 2, 95, 158, 16, 150
1, 2, 96, 146, 16, 150
1, 2, 95, 150, 16, 150
1, 2, 97, 148, 16, 150
1, 2, 96, 143, 16, 150
1, 2, 94, 153, 16, 150
1, 2, 72, 155, 16, 150
1, 2, 94, 149, 16, 150
1, 2, 97, 151, 16, 150
1, 2, 86, 139, 16, 150
