from, to, dqf, range
2, 1, 77, 321
2, 1, 47, 52
2, 1, 92, 96
2, 1, 89, 101
2, 1, 80, 64
2, 1, 0, 71
2, 1, 100, 54
2, 1, 55, 57
2, 1, 0, 59
2, 1, 68, 52
2, 1, 48, 53
2, 1, 0, 49
2, 1, 100, 38
2, 1, 86, 46
2, 1, 100, 94
2, 1, 0, 76
2, 1, 75, 50
2, 1, 100, 86
2, 1, 0, 56
2, 1, 87, 87
2, 1, 78, 96
2, 1, 82, 59
2, 1, 0, 65
2, 1, 100, 115
2, 1, 0, 70
2, 1, 78, 68
2, 1, 98, 114
2, 1, 93, 112
2, 1, 75, 44
2, 1, 62, 67
2, 1, 79, 75
2, 1, 100, 101
2, 1, 0, 49
2, 1, 100, 13
2, 1, 62, 33
2, 1, 79, 70
2, 1, 0, 77
2, 1, 77, 78
2, 1, 70, 37
2, 1, 57, 42
2, 1, 0, 87
2, 1, 71, 103
2, 1, 80, 76
2, 1, 67, 78
2, 1, 53, 39
2, 1, 48, 40
2, 1, 88, 110
2, 1, 60, 51
2, 1, 0, 73
2, 1, 65, 72
2, 1, 87, 67
2, 1, 87, 104
2, 1, 0, 53
2, 1, 90, 70
2, 1, 0, 55
2, 1, 62, 65
2, 1, 100, 85
2, 1, 100, 95
2, 1, 0, 52
2, 1, 0, 51
2, 1, 100, 63
2, 1, 80, 110
2, 1, 71, 53
2, 1, 81, 78
2, 1, 81, 90
2, 1, 0, 50
2, 1, 92, 111
2, 1, 94, 113
2, 1, 70, 66
2, 1, 100, 107
2, 1, 94, 110
2, 1, 98, 84
2, 1, 74, 64
2, 1, 93, 108
2, 1, 67, 68
2, 1, 66, 80
2, 1, 54, 54
2, 1, 68, 78
2, 1, 81, 69
2, 1, 0, 51
2, 1, 93, 77
2, 1, 77, 105
2, 1, 72, 76
2, 1, 72, 64
2, 1, 84, 73
2, 1, 99, 83
2, 1, 80, 68
2, 1, 73, 68
2, 1, 90, 48
2, 1, 64, 39
2, 1, 92, 89
2, 1, 66, 66
2, 1, 100, 130
2, 1, 84, 72
2, 1, 78, 71
2, 1, 76, 83
2, 1, 81, 51
2, 1, 72, 48
2, 1, 71, 50
2, 1, 90, 86
2, 1, 100, 39
2, 1, 61, 47
2, 1, 88, 57
2, 1, 64, 46
2, 1, 63, 51
2, 1, 78, 61
2, 1, 100, 42
2, 1, 86, 64
2, 1, 0, 86
2, 1, 48, 50
2, 1, 88, 76
2, 1, 92, 92
2, 1, 89, 61
2, 1, 63, 40
2, 1, 65, 36
2, 1, 100, 70
2, 1, 76, 48
2, 1, 76, 64
2, 1, 100, 51
2, 1, 0, 492
2, 1, 100, 77
2, 1, 70, 31
2, 1, 80, 62
2, 1, 71, 78
2, 1, 0, 71
2, 1, 100, 107
2, 1, 100, 116
2, 1, 86, 71
2, 1, 100, 60
2, 1, 85, 55
2, 1, 0, 57
2, 1, 0, 57
2, 1, 0, 54
2, 1, 0, 60
2, 1, 0, 52
2, 1, 0, 48
2, 1, 0, 58
2, 1, 86, 33
2, 1, 87, 76
2, 1, 0, 75
2, 1, 0, 77
2, 1, 65, 41
2, 1, 85, 65
2, 1, 0, 46
2, 1, 100, 38
2, 1, 0, 57
2, 1, 74, 81
2, 1, 83, 79
2, 1, 80, 49
2, 1, 56, 43
2, 1, 61, 32
2, 1, 92, 103
2, 1, 62, 56
2, 1, 100, 48
2, 1, 58, 55
2, 1, 70, 55
2, 1, 0, 72
2, 1, 61, 34
2, 1, 100, 44
2, 1, 85, 80
2, 1, 100, 107
2, 1, 100, 34
2, 1, 0, 64
2, 1, 0, 76
2, 1, 0, 54
2, 1, 0, 62
2, 1, 59, 52
2, 1, 68, 49
2, 1, 59, 59
2, 1, 62, 45
2, 1, 60, 45
2, 1, 55, 48
2, 1, 72, 64
2, 1, 73, 77
2, 1, 74, 81
2, 1, 72, 64
2, 1, 64, 63
2, 1, 74, 61
2, 1, 74, 61
2, 1, 0, 65535
2, 1, 82, 90
2, 1, 81, 93
2, 1, 75, 78
2, 1, 65, 64
2, 1, 52, 61
2, 1, 75, 76
2, 1, 100, 63
2, 1, 53, 46
2, 1, 56, 46
2, 1, 77, 72
2, 1, 79, 77
2, 1, 67, 48
2, 1, 100, 64
2, 1, 100, 45
2, 1, 70, 56
2, 1, 56, 45
2, 1, 100, 42
2, 1, 100, 110
2, 1, 59, 59
2, 1, 73, 69
